Title,Author,Year,Publisher,Genre,Series,Format,Pages,ISBN,Edition,Printing,Value,Rarity,Rating,Condition,Summary,Signed,Status
Mr. Midshipman Hornblower,C. S. Forester,1950,Back Bay Books,Fiction,Horatio Hornblower,Paperback,,0316289124,,19th Printing,$8.00,Common; a long-running classic series title with abundant surviving copies,82,"Near Fine: light wear, no dust jacket applicable (paperback)","The first chronological novel in Forester's Hornblower saga, following seventeen-year-old Horatio Hornblower's early naval career during the Napoleonic Wars through a series of formative adventures.",No,Own
Murder at the Met,David Black,1984,"The Dial Press, Doubleday & Company, Inc., Garden City, NY",True Crime,,Hardcover with dust jacket,0,0-385-27852-7,First Edition,"First Printing, 1984",$20,Uncommon; collectible among true crime readers and those interested in NYC criminal history,6.76,"Near Fine, protectedDJ | Near Fine; hardcover; dust jacket with only slight wear, protected in plastic",A true crime account based on the exclusive accounts of Detectives Mike Struk and Jerry Giorgio detailing how they solved the 'Phantom of the Opera' case involving the 1980 murder of Helen Hagnes at the Metropolitan Opera.,,Own
Murmurs of Earth: The Voyager Interstellar Record,"Carl Sagan, F.D. Drake, Ann Druyan, Timothy Ferris, Jon Lomberg, Linda Salzman Sagan",1978,"Random House, New York",Science / Space Exploration / Astronomy,,Paperback,273,0-394-41047-5,First Edition text,Second Printing,$8,"Common; multiple printings, widely available",8.72,"Shelf worn paperback, previous owner's name written inside top of first page","Behind-the-scenes account of the creation of the Voyager Golden Record, the interstellar message affixed to the Voyager spacecraft, documenting the sounds and images chosen to represent Earth",,Own
Murmurs of Earth: The Voyager Interstellar Record,"Carl Sagan, F.D. Drake, Ann Druyan, Timothy Ferris, Jon Lomberg, Linda Salzman Sagan",1978,"Random House, New York",Science / Space Exploration / Astronomy,,Hardcover with dust jacket,273,0-394-41047-5,First Edition,Second Printing,$18,"Common; multiple printings, hardcover with DJ less common than later paperback reissues",8.72,"Great shape, protected dust jacket with shelf wear and small chunk missing (less than 1/2 inch deep, 1 inch wide at top) | protectedDJ","Behind-the-scenes account of the creation of the Voyager Golden Record, the interstellar message affixed to the Voyager spacecraft, documenting the sounds and images chosen to represent Earth",,Own
Murmurs of Earth: The Voyager Interstellar Record,Carl Sagan; F. D. Drake; Ann Druyan; Timothy Ferris; Jon Lomberg; Linda Salzman Sagan,1978,Random House,Popular Science / Space Exploration,,Hardcover,273,9780394410489,First Edition,First Printing,$120,Uncommon; first edition collectible,8.5,"Very Good, protectedDJ | Very Good (dust jacket with small tears, protected in plastic)","Story of the Voyager Golden Record—its conception, contents, and significance.",,Own
Murmurs of Earth: The Voyager Interstellar Record,Carl Sagan; F. D. Drake; Ann Druyan; Timothy Ferris; Jon Lomberg; Linda Salzman Sagan,1978,"Random House, New York",Popular Science / Space Exploration,,Paperback,273,0-394-41047-5,First Edition,Third Printing (number line ends in 3),$25,"Common; more collectible in hardcover, but sought after by space history collectors",8.5,Very Fine | Very Fine (VF): Paperback; slightly worn,"The companion volume to the Voyager Golden Record, detailing the conception, contents, and cultural significance of the interstellar message carried aboard the Voyager spacecraft. Includes essays, addresses, and images selected for the record.",No,Own
Mutiny,Julian Stockwin,2003,Scribner,Fiction,Kydd Sea Adventures,Hardcover,326,0743258002,First Scribner Edition,1st Printing,$5.00,Common; a long-running series title with abundant surviving copies,78,"Near Fine: light wear, hasDJ, protectedDJ | ex-library copy with library markings","Fourth novel in Stockwin's Kydd series, following Thomas Kydd's return from the Caribbean into the Nore Mutiny of 1797, where his loyalty to the Navy is tested against solidarity with fellow sailors.",No,Own
My Father's Dragon,Ruth Stiles Gannett,0,"Dover Publications, Inc., Mineola, NY",Children's Literature / Fantasy,,Hardcover with dust jacket,0,978-0-486-83749-9,"Dover edition, unabridged republication of the 1948 original",First Dover edition 2019; printed 2020,$15,"Common; widely available modern reprint, valued for condition",8.2,"Very Fine, hasDJ | Very Fine (VF); hardcover; excellent condition; with dust jacket","A modern Dover edition of the classic 1948 children's tale by Ruth Stiles Gannett, illustrated by Ruth Chrisman Gannett. The whimsical adventure follows a young boy's journey to rescue a baby dragon, presented here in an unabridged hardcover format with dust jacket.",,Own
Necronomicon,Simon,1981,"Schlangekraft, Inc. / Barnes Graphics, Inc.",Occult / Esoterica / Grimoire,,Hardcover (Leather Bound),218,,"Third Edition, Revised","1981 general printing (unnumbered; not part of the 3,333 limited numbered issue)",$200,"Scarce; genuine Schlangekraft third-edition leather Simon Necronomicon, actively collected within occult/Lovecraftian circles",6.40,"Very Fine, spineWear | Excellent condition overall; minor wear/cracking to leather spine at head and tail","The controversial 'Simon' Necronomicon, a purported grimoire blending Middle Eastern mythological elements with allusions to H.P. Lovecraft and Aleister Crowley, framed as the testimony of the 'Mad Arab.' This is the 1981 revised third edition published by Schlangekraft, Inc./Barnes Graphics, Inc., bound in black grained leather with silver gilt lettering and symbols. This copy is a general (unnumbered) third-edition printing, distinct from the limited run of 3,333 hand-numbered copies issued in the same binding.",,Own
Night of the Hawk,Dale Brown,1992,G.P. Putnam's Sons,Techno-Thriller,Patrick McLanahan,Hardcover,462,0-399-13739-4,Second printing,,,Common; large first printing (150000 copies) with abundant used hardcovers in circulation,8.1,Very Good | hasDJ: hardcover with matching dust jacket showing light wear,"Five years after the events of Flight of the Old Dog, the crew reunites to rescue crewmate David Luger from a KGB plot while a rebellious Soviet soldier organizes Lithuania's first independent army. Sequel to Flight of the Old Dog in Dale Brown's Patrick McLanahan series.",No,
Night Shift,Stephen King,1979,"Signet, New American Library, New York, NY",Horror / Short Stories,,Paperback,0,,First Signet Printing,Feb-79,$10,Uncommon; collectible early paperback edition of Stephen King's short story collection,8,Good | Good (G); paperback; spine wear; slight tear on back cover where a price sticker was removed,"A collection of Stephen King's early short stories, originally published in various magazines, showcasing his mastery of horror and suspense. Includes classics such as 'Jerusalem's Lot,' 'Graveyard Shift,' and 'Children of the Corn.'",,Own
Nostromo: A Tale of the Seaboard,Joseph Conrad,1904,"Heritage Press, New York",Literary Fiction / Classics / Political Fiction,,Hardcover,376,,Heritage Press Edition,"1961 Heritage Press printing (unlimited trade edition, special contents copyright 1961)",$12,"Common; unlimited Heritage Press trade edition, not scarce",7.62,"Fine, noDJ | Fine book housed in Fine slipcase, no dust jacket as issued","Conrad's epic tale of revolution, greed, and the corrupting power of silver in the fictional South American republic of Costaguana, centered on the incorruptible dock foreman Nostromo. This Heritage Press edition features illustrations by Lima de Freitas, originally created for the 1961 Limited Editions Club edition.",,Own
Novem Portis (De Umbrarum Regis Novem Portis),Michael Jaquish,2013,Black Castle Books (Lulu),Occult / Esoterica,,Softcover,0,,Print-on-demand,2013 printing,$15,"Common; fan-made reconstruction, not historically significant",,Very Good | Print-on-demand production; typical POD binding and paper quality,A fan-created reconstruction of the fictional grimoire 'De Umbrarum Regis Novem Portis' referenced in the novel and film 'The Ninth Gate.' Not a historical occult text; a modern creative work inspired by the fiction.,,Own
On the Origin of Species,Charles Darwin,1991,The Easton Press,Science / Natural History,100 Greatest Books Ever Written,Hardcover (Leather Bound),0,,Easton Press Collector's Edition (Text of 1872 Sixth Edition),1991 printing,$65,Uncommon; collectible modern fine press edition,0,"Near Fine, noDJ | Like New; hardcover; no dust jacket as issued","Easton Press leather-bound edition of Charles Darwin's landmark work on evolutionary biology, part of the '100 Greatest Books Ever Written' series, featuring the text of the 1872 sixth edition, gilt page edges, silk endpapers, and a satin ribbon bookmark.",,Own
Our Invisible Friends: A Scientific Experiment with the Spirit World,Maurice Allen,1943,"Liveright Publishing Corporation, New York",Occult / Spiritualism / Parapsychology,,Hardcover with dust jacket,267,,First Edition,1943 printing,$20,"Uncommon; obscure spiritualism title, limited market demand",,"Very Fine, protectedDJ | Book in great condition; dust jacket worn but now protected","Maurice Allen's account of purported scientific investigation into spirit communication, with a foreword by New Thought writer Ralph Waldo Trine. A period piece of 1940s spiritualist literature reflecting the wartime-era interest in psychic phenomena and survival after death.",,Own
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,1994,Random House,Popular Science / Cosmology,,Hardcover,429,9780679438410,First Edition,First Printing,$125,Uncommon; notable first edition in excellent condition,9,"Fine, protectedDJ | Fine (dust jacket protected, crisp and clean)","A visionary exploration of humanity's place in the cosmos, inspired by Voyager 1's Earth image.",,Own
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,1994,"Random House, New York",Science / Astronomy / Space Exploration,,Hardcover with dust jacket,429,0-679-43841-6,First Edition,"First Edition, Second Printing",$15,"Common; large original print run, first editions readily available",8.98,"Excellent shape, lightly shelf worn dust jacket | hasDJ","Sagan's meditation on humanity's place in the cosmos and vision for space exploration, inspired by the iconic 'Pale Blue Dot' photograph of Earth taken by Voyager 1",,Own
Pet Sematary,Stephen King,1983,Doubleday,Horror,,Hardcover,373,978-0-385-18244-9,First Edition,First Printing,$70,Uncommon; collectible modern horror first edition,7.5,"Very Fine, hasDJ | Very Fine (VF): Excellent condition; light shelf wear and minor dust jacket tear",A warning buried in the woods proves deadly when a grieving family discovers that some dead should remain undisturbed.,No,Own
Pirates & Corsairs in Mauritius,Denis Piat,2007,Christian le Comte,History,,Hardcover,96,9994990535,,,,Scarce; a small-press regional title with limited print run and few copies in international circulation,,"Good: moderate wear, no dust jacket applicable per photo | noDJ","Piat traces the history of piracy and privateering around Mauritius, illustrated with period engravings, lithographs, and maps documenting the island's role as a corsair base and colonial trading post.",No,Own
"Popes and Politics: Reform, Resentment, and the Holocaust",Justus George Lawler,2002,"The Continuum International Publishing Group Inc, New York",History / Religion / Political Science,Handbooks of Catholic Theology,Hardcover with dust jacket,232,0-8264-1385-4,First Edition,First Printing,$10,Common; small academic press run but readily available secondhand,,"Great condition, light dust jacket shelf wear, very minor tears on dust jacket spine top and bottom | hasDJ","Scholarly critique of contemporary Vatican historiography, examining the modern papacy's relationship to political reform and the Holocaust",,Own
Post Captain,Patrick O'Brian,1972,"W. W. Norton & Company, New York",Historical Fiction / Nautical Fiction / Napoleonic Wars,"Aubrey-Maturin, Book 2",Paperback,496,0-393-30706-9,Norton Paperback Edition,1990 Norton paperback printing (number line to 1),$5,"Common; widely printed installment in a major historical fiction series, not scarce",8.50,"Fair, noDJ | Fair; trade paperback, no dust jacket as issued","Second novel in the Aubrey-Maturin series, following Jack Aubrey as he returns to a peacetime England, faces sudden financial ruin, and flees to the Continent as a fugitive from Napoleon's regime, all while his friendship with Stephen Maturin is tested by romantic entanglements.",,Own
Powers of Darkness: The Lost Version of Dracula,Valdimar Ásmundsson and Bram Stoker (translated and annotated by Hans Corneel de Roos),1901,"Overlook Duckworth, New York",Horror / Gothic Fiction / Vampire Fiction,,Hardcover,352,978-1-4683-1336-9,First US Edition,"First Printing, 2017",$20,"Uncommon; recently discovered literary rediscovery with strong scholarly interest, moderate collector demand",7.26,"Near Mint, hasDJ | Near Mint book and dust jacket, protected","The first-ever English translation of Makt Myrkranna, an 1901 Icelandic adaptation of Bram Stoker's Dracula that reveals a substantially reworked plot and new characters — long thought to be a simple translation until literary researcher Hans Corneel de Roos discovered its striking divergences from Stoker's original text in 2014. Includes foreword by Dacre Stoker and afterword by John Edgar Browning.",,Own
"Principles of Human Physiology, with their Chief Applications to Pathology, Hygiene, and Forensic Medicine",William B. Carpenter,1850,Lea and Blanchard,Science / Medicine,,Hardcover (Full Leather),750,,Fourth American Edition,1850 printing,$25,"Common; multiple 19th-century editions exist, this printing not scarce",,"Good, noDJ: heavily worn leather boards, rubbed and scuffed covers, period ownership inscription ""A.H. Strong"" on flyleaf, no dust jacket issued","A mid-19th-century American medical text by physiologist William B. Carpenter, covering human physiology with applications to pathology, hygiene, and forensic medicine. This Fourth American Edition includes two plates and 304 wood-cut illustrations, and bears a period owner's inscription on the front flyleaf.",,
